"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0134622063487768,0.0350367017090321,320,1.97648859024048,0,0,1.83670992315982e-37,0.00621850322932005,0.0136079508811235,0.00738945044577122,0.000303239823551849,44650784,799.902893066406,0,144.711349487305,44650668,0.0207308251410723,0.00339416367933154,1.31801152229309,NA,NA,0.00458709476515651,0.000325093074934557,0.00319560058414936,0.00355573277920485,0.00622533168643713,0.00284197181463242,1.12336111068726,0.0162546541541815,0.0635960400104523,0.0888932719826698,0.0177866630256176,0.0081199174746871,3.36419434461277e-05,0.00284820096567273,0.00051232089754194,0.0033641941845417,NA,NA,200,0,0.708752572536469,-90.0120697021484,0.0870806574821472,NA,3.22859166180438e-39,1.85837577993458e+37,1.81786654423504e+34,1.8523599039282e+31,1.00000047683716,0.00202585314400494,0.0246646888554096,0.00379528943449259,0.00266730319708586,0,0,0.0036973999813199,1.06548511981964,0.00266730319708586,4.31894199689552e-41,NA,-3.42883013648709e-12
"2",2,0.0181405432522297,0.0410908572375774,624.773803710938,1.39093220233917,0,0,1.83670992315982e-37,0.0182796195149422,0.0241496358066797,0.00587001210078597,0.000940601981710643,44772384,799.943725585938,0,121.307594299316,44772272,0.0339939147233963,0.00747010763734579,1.94384360313416,NA,NA,0.0130595369264483,0.00065098115010187,0.00283503625541925,0.00402101734653115,0.00684638414531946,0.00658096000552177,1.70503652095795,0.0325490422546864,0.0673689022660255,0.100525386631489,0.0195610988885164,0.0188027359545231,0.000124716258142143,0.00620004208758473,0.00114534911699593,0.0124716265127063,NA,NA,200,0,0.75354665517807,-73.9809341430664,0.114797070622444,NA,0.308838397264481,0.0154419215396047,0.308838397264481,0.0154419215396047,1.99997925758362,0.00289585581049323,0.0284548196941614,0.000276067847153172,0.00439746817573905,0.00040646392153576,0.000201332906726748,0.00871394108980894,1.49653387069702,0.00439746817573905,1.95314760276233e-06,0,0
"3",3,0.0260787568986416,0.0630245506763458,1173.74047851562,1.11131203174591,0,0,1.83670992315982e-37,0.021100677549839,0.0315377190709114,0.0104370443150401,0.00193270912859589,41133176,799.962768554688,0,128.894729614258,41133052,0.0478349924087524,0.0127970101311803,2.46384644508362,NA,NA,0.016266044229269,0.0010296480031684,0.00431256368756294,0.00625784043222666,0.0116384876891971,0.00833040848374367,2.09547686576843,0.0514823757112026,0.103387303650379,0.156445905566216,0.0332528240978718,0.0238011684268713,0.000281213782727718,0.0106457434594631,0.00187005277257413,0.0281213782727718,NA,NA,200,0,0.733247697353363,-83.4007186889648,0.165505424141884,NA,0.568290889263153,0.0284145325422287,0.568290889263153,0.0284145306795835,2.99995803833008,0.00455462839454412,0.0341069363057613,0.00218732259236276,0.00656928867101669,0.00193242868408561,0.000394643953768536,0.0159735586494207,1.26808381080627,0.00656928867101669,3.75113677364425e-06,0,0
"4",4,0.0367231667041779,0.0982293859124184,1767.02648925781,1.06391704082489,0,0,1.83670992315982e-37,0.0282029211521149,0.0429329313337803,0.0147300017997622,0.00290440605022013,57782996,799.943176269531,0,113.448974609375,57782876,0.0646390467882156,0.0212914478033781,3.85743141174316,NA,NA,0.0185871329158545,0.00205082469619811,0.00626148469746113,0.00977170839905739,0.0184109341353178,0.0095569659024477,3.2731351852417,0.102541193366051,0.157554149627686,0.244292542338371,0.0526026673614979,0.0273056142032146,0.000497202097903937,0.0178514923900366,0.00294275442138314,0.0497202090919018,NA,NA,200,0,1.72286248207092,-74.1419067382812,0.258826524019241,NA,0.640083432197571,0.0320041552186012,0.640083432197571,0.0320041589438915,3.99993681907654,0.00699078384786844,0.0404836051166058,0.00297812139615417,0.00810057390481234,0.00467974552884698,0.00069266464561224,0.0273724365979433,1.17978870868683,0.00810057390481234,6.80443827150157e-06,0,0
"5",5,0.0456184186041355,0.126264333724976,3068.06665039062,0.880442678928375,0,0,1.83670992315982e-37,0.037100113928318,0.0553252547979355,0.018225135281682,0.0062465388327837,46136464,799.894409179688,0,122.832794189453,46136344,0.0734278410673141,0.0433562360703945,4.88711643218994,NA,NA,0.0190483704209328,0.00257201096974313,0.00824591517448425,0.012526473030448,0.0205596070736647,0.010475467890501,4.15283298492432,0.128600537776947,0.203849613666534,0.313161611557007,0.0587417297065258,0.029929906129837,0.000979937496595085,0.0323596820235252,0.0100166155025363,0.0979937463998795,NA,NA,200,0,2.45384931564331,-78.4201965332031,0.319715529680252,NA,1.44268715381622,0.0721343159675598,1.44268727302551,0.0721343234181404,5.00000238418579,0.0040470939129591,0.0325328409671783,0.00402173679322004,0.00861516408622265,0.00730571756139398,0.000331501418258995,0.032455075532198,1.21593368053436,0.00861516408622265,1.08095682662679e-05,0,0
"6",6,0.0632072165608406,0.176387667655945,4336.64404296875,0.87846451997757,0,0,1.83670992315982e-37,0.0518356449902058,0.0769909620285034,0.0251553617417812,0.00980382785201073,37591944,799.952514648438,0,153.42301940918,37591788,0.0999971553683281,0.0588188730180264,7.57824277877808,NA,NA,0.0267205964773893,0.00489977281540632,0.0102391839027405,0.0173408128321171,0.0277476944029331,0.0130490949377418,6.50831460952759,0.244988739490509,0.274857252836227,0.433520078659058,0.0792791247367859,0.0372831299901009,0.00159351131878793,0.0441698729991913,0.0130554875358939,0.159351125359535,NA,NA,200,0,4.0521388053894,-89.1821441650391,0.454531818628311,NA,1.66169464588165,0.0830847173929214,1.66169464588165,0.0830847173929214,6.00006818771362,0.00507760141044855,0.0356226190924644,0.00420264946296811,0.0110166454687715,0.01283267326653,0.000569101946894079,0.0478499084711075,1.18448901176453,0.0110166454687715,1.65260644280352e-05,0,0
"7",7,0.0855170041322708,0.239552542567253,6056.5126953125,0.862388014793396,0,0,1.83670992315982e-37,0.068044900894165,0.101776339113712,0.0337313860654831,0.0127092842012644,57758956,799.969604492188,0,110.786781311035,57758836,0.13166344165802,0.0824883058667183,11.4423542022705,NA,NA,0.0337741374969482,0.00832858402282,0.0126728266477585,0.0235199183225632,0.0367569327354431,0.0166110433638096,9.92145538330078,0.416429311037064,0.363990724086761,0.587997674942017,0.105019807815552,0.0474601350724697,0.00233430415391922,0.0625793412327766,0.0175746604800224,0.233430415391922,NA,NA,200,0,6.54018020629883,-80.7849807739258,0.607012391090393,NA,2.38776993751526,0.119388528168201,2.38776993751526,0.119388535618782,7.00013399124146,0.00638563698157668,0.0390428490936756,0.00531632034108043,0.0148839903995395,0.018066281452775,0.000866898335516453,0.066771537065506,1.11603426933289,0.0148839903995395,2.42310961766634e-05,0,0
"8",8,0.127316370606422,0.343479573726654,9911.5673828125,0.81379234790802,0,0,1.83670992315982e-37,0.0976183265447617,0.145996049046516,0.0483777523040771,0.0187839698046446,45639480,799.792419433594,0,126.467086791992,45639344,0.179885745048523,0.113100372254848,13.9003801345825,NA,NA,0.0471271760761738,0.0108097707852721,0.0165490619838238,0.0337874479591846,0.0501477494835854,0.0214645210653543,11.8008165359497,0.540488421916962,0.509783804416656,0.844685733318329,0.143279299139977,0.0613272003829479,0.00336052454076707,0.0865135565400124,0.0232262890785933,0.336052447557449,NA,NA,200,0,5.04286289215088,-86.2685165405273,0.853819966316223,NA,6.16798496246338,0.308399438858032,6.16798543930054,0.308399438858032,8.00019931793213,0.00795990973711014,0.042640395462513,0.00734960986301303,0.0206277053803205,0.0263612829148769,0.00144026207271963,0.0945529416203499,1.04056751728058,0.0206277053803205,3.55767842847854e-05,0.000375131901819259,0
"9",9,0.174591735005379,0.458410173654556,15010.51171875,0.766384422779083,0,0,1.83670992315982e-37,0.125967890024185,0.189399689435959,0.0634317174553871,0.0246904212981462,47787412,799.93359375,0,108.051040649414,47787288,0.229262888431549,0.165000602602959,17.6612434387207,NA,NA,0.0568398647010326,0.0148574467748404,0.0209336653351784,0.0446653813123703,0.064689002931118,0.02727753482759,14.867262840271,0.742872178554535,0.6717129945755,1.11663401126862,0.184825718402863,0.0779358223080635,0.00477402145043015,0.126628547906876,0.0335980318486691,0.477402150630951,NA,NA,200,0,7.98649168014526,-76.7723846435547,1.11581134796143,NA,7.75734710693359,0.387867271900177,7.75734663009644,0.387867212295532,9.00026512145996,0.00982233043760061,0.0463812649250031,0.00965297874063253,0.0265488438308239,0.0403260812163353,0.00191276066470891,0.122915357351303,1.02744722366333,0.0265488438308239,5.14418061356992e-05,0.00025455400464125,0
"10",10,0.247865080833435,0.652267217636108,21558.732421875,0.770918726921082,0,0,1.83670992315982e-37,0.178930357098579,0.269255757331848,0.0903254821896553,0.0377945713698864,42431052,799.937744140625,0,132.448776245117,42430920,0.307305842638016,0.228093713521957,39.1757049560547,NA,NA,0.0742447748780251,0.0221536103636026,0.027679992839694,0.0638990551233292,0.0850615501403809,0.0342668555676937,35.1896209716797,1.10768032073975,0.939988136291504,1.59747612476349,0.243033036589622,0.0979053154587746,0.00685791531577706,0.174944549798965,0.0462912432849407,0.685791552066803,NA,NA,200,0,27.3775291442871,-84.1188583374023,1.54443955421448,NA,9.82034778594971,0.491017252206802,9.82034778594971,0.491017252206802,10.0003309249878,0.0119422199204564,0.0501521378755569,0.0130989849567413,0.0350018851459026,0.0636157169938087,0.00278302351944149,0.165348216891289,0.979000270366669,0.0350018851459026,7.30646424926817e-05,0.000302818167256191,0
